Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3d Print Shipping","Shipping cost of the 3d printed Case to me by @Souptik Samanta via #printing-legion",1,3.35,"https://app.slack.com/client/E09V59WQY1E/C095YP8GLKT","Souptik Samanta #printing-legion"
"Fevikwik Advanced Adhesive","For gluing the magnets to the case",1,0.73,"https://blinkit.com/prn/fevikwik-advanced-adhesive/prid/537724","Blinkit"
"Fevikwik Gel One Drop Instant Adhesive Gel","For gluing the magnets to the case",1,0.55,"https://blinkit.com/prn/fevikwik-gel-one-drop-instant-adhesive-gel/prid/425743","Blinkit"
"6mm Diameter Neodymium Disc Magnets N35 - 3mm","To hold the case in place.",20,1.90,"https://onlyscrews.in/products/6mm-x-3mm-neodymium-disc-magnets-n35-dia-6mm-thickness-3mm?variant=51061578367289","OnlyScrews"
TOTAL TAX, Tax, N/A, 0.4, N/A, N/A
TOTAL SHIPPING, Shipping, N/A, 1.07, N/A, N/A
